City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Windspeed
sao filipe,CV,3,1619893394,74.0,14.8961,-24.4956,72.61,14.47
muroto,JP,13,1619893394,62.0,33.2833,134.15,57.78,29.8
alofi,NU,16,1619893394,100.0,-19.0595,-169.9187,73.4,1.14
griffith,AU,100,1619893395,67.0,-34.2833,146.0333,59,5.75
san patricio,MX,40,1619893395,69.0,19.2167,-104.7,80.6,13.8
la libertad,SV,20,1619893395,66.0,13.4883,-89.3222,89.6,4.61
hithadhoo,MV,95,1619893396,68.0,-0.6,73.0833,84.61,5.5
salym,RU,96,1619893396,61.0,60.0625,71.4789,36.45,9.19
vao,NC,89,1619893282,76.0,-22.6667,167.4833,73.98,25.01
altamont,US,75,1619893396,51.0,42.2068,-121.7372,62.01,11.5
carnarvon,AU,100,1619893397,73.0,-24.8667,113.6333,68,9.22
orapa,BW,43,1619893397,26.0,-21.2833,25.3667,69.89,10
mastic beach,US,1,1619893398,36.0,40.7668,-72.8521,62.01,16.11
punta arenas,CL,20,1619893398,66.0,-53.15,-70.9167,46.4,8.05
uige,AO,99,1619893398,95.0,-7.6087,15.0613,65.37,5.17
izhevsk,RU,100,1619893399,95.0,56.85,53.2333,48.99,10.16
mashhad,IR,75,1619893399,60.0,36.297,59.6062,68,4.61
rioja,PE,28,1619893399,59.0,-6.0586,-77.165,81.82,3.22
port hedland,AU,90,1619893400,100.0,-20.3167,118.5667,69.8,4.61
bengkulu,ID,73,1619893400,89.0,-3.8004,102.2655,75.96,4.43
chiredzi,ZW,100,1619893400,74.0,-21.05,31.6667,66.49,6.58
san jose,GT,10,1619893401,29.0,16.9833,-89.9,100.6,3.15
mar del plata,AR,0,1619893316,49.0,-38.0023,-57.5575,72,14.97
chumikan,RU,100,1619893401,97.0,54.7183,135.315,29.35,9.24
kanye,BW,0,1619893401,25.0,-24.9667,25.3327,57.99,6.69
keetmanshoop,NA,0,1619893402,27.0,-26.5833,18.1333,64.4,8.05
aswan,EG,0,1619893402,9.0,24.0934,32.907,94.87,13.78
aksarka,RU,95,1619893402,85.0,66.5606,67.7975,26.13,17.38
neuquen,AR,90,1619893298,67.0,-38.9516,-68.0591,60.8,4.61
camana,PE,82,1619893403,71.0,-16.6228,-72.7111,70.7,8.99
narsaq,GL,1,1619893403,20.0,60.9167,-46.05,51.8,35.68
coquimbo,CL,0,1619893404,48.0,-29.9533,-71.3436,66.2,11.5
lebu,CL,100,1619893404,90.0,-37.6167,-73.65,55.67,14.7
souillac,MU,20,1619893405,94.0,-20.5167,57.5167,73.4,4.61
ceres,ZA,6,1619893405,38.0,-33.3689,19.311,61.57,4.7
palmer,US,20,1619893299,41.0,42.1584,-72.3287,57.99,12.66
capreol,CA,90,1619893405,60.0,46.706,-80.9225,42.01,14.97
new norfolk,AU,100,1619893406,62.0,-42.7826,147.0587,55,3.04
lydenburg,ZA,100,1619893406,100.0,-25.0978,30.4597,46.99,5.99
natal,BR,40,1619893374,62.0,-5.795,-35.2094,86,17.27
petropavlivka,UA,98,1619893407,73.0,48.4564,36.4367,62.49,5.06
fremont,US,20,1619893107,72.0,37.5483,-121.9886,66.99,5.75
kirkenes,NO,20,1619893407,74.0,69.7271,30.0458,32,4.61
tonekabon,IR,90,1619893408,94.0,36.8163,50.8738,62.6,2.3
caravelas,BR,100,1619893408,54.0,-17.7125,-39.2481,79.56,11.34
saskylakh,RU,100,1619893408,98.0,71.9167,114.0833,30.15,2.51
baie-comeau,CA,1,1619893409,17.0,49.2168,-68.1489,50,17.27
boke,GN,9,1619893409,41.0,10.9409,-14.2967,91.74,13.29
fort frances,CA,1,1619893236,25.0,48.5999,-93.4003,75.2,10.36
nanning,CN,0,1619893409,88.0,22.8167,108.3167,75.2,2.24
chuy,UY,2,1619893113,52.0,-33.6971,-53.4616,73.81,5.39
barra do garcas,BR,75,1619893410,74.0,-15.89,-52.2567,80.6,2.3
pemangkat,ID,89,1619893410,87.0,1.1667,108.9667,77.86,6.33
novo aripuana,BR,90,1619893410,79.0,-5.1206,-60.3797,84.29,4.09
sassandra,CI,79,1619893411,76.0,4.95,-6.0833,83.25,11.1
omsukchan,RU,100,1619893411,96.0,62.5333,155.8,23.07,0.29
mount gambier,AU,90,1619893404,45.0,-37.8333,140.7667,66.2,16.11
cockburn town,TC,40,1619893412,69.0,21.4612,-71.1419,80.6,9.22
dingle,IE,75,1619893412,76.0,52.1408,-10.2689,50,4.61
podgornoye,RU,0,1619893412,50.0,51.735,39.1496,55.4,4.47
rawson,AR,100,1619893413,43.0,-43.3002,-65.1023,66.49,16.35
itigi,TZ,68,1619893413,77.0,-5.7,34.4833,67.42,5.57
alugan,PH,10,1619893413,81.0,12.2188,125.4808,79.99,6.73
luderitz,NA,0,1619893414,45.0,-26.6481,15.1594,68.25,7.14
ojinaga,MX,40,1619893414,52.0,29.5667,-104.4167,68,5.75
provideniya,RU,73,1619893414,64.0,64.3833,-173.3,22.35,5.79
sikasso,ML,65,1619893415,27.0,10.9167,-7,97.75,0.36
vila velha,BR,40,1619893415,65.0,-20.3297,-40.2925,78.8,11.5
walvis bay,NA,0,1619893415,77.0,-22.9575,14.5053,62.6,4.61
sistranda,NO,20,1619893416,60.0,63.7256,8.834,41,8.05
flinders,AU,74,1619893329,90.0,-34.5833,150.8552,57.99,1.99
maniitsoq,GL,6,1619893416,73.0,65.4167,-52.9,36.54,3.62
epe,NG,22,1619893417,77.0,6.5841,3.9834,82.92,7.96
port-cartier,CA,98,1619893417,61.0,50.0334,-66.8654,48,18.41
khovu-aksy,RU,100,1619893417,91.0,51.1333,93.6,30.9,4.61
bone,ID,61,1619893418,85.0,-9.828,124.4458,67.5,4.36
takoradi,GH,95,1619893418,78.0,4.8845,-1.7554,83.05,14
ambon,ID,38,1619893418,78.0,-3.6954,128.1814,81.09,5.32
comodoro rivadavia,AR,40,1619893419,28.0,-45.8667,-67.5,68,23.02
matlock,GB,95,1619893419,62.0,53.1384,-1.5556,48,5.01
port lincoln,AU,30,1619893419,68.0,-34.7333,135.8667,61.52,15.28
kavieng,PG,85,1619893420,76.0,-2.5744,150.7967,81.5,3.91
tuatapere,NZ,1,1619893284,85.0,-46.1333,167.6833,48,3
banda aceh,ID,92,1619893420,78.0,5.5577,95.3222,80.74,8.25
kindu,CD,99,1619893421,96.0,-2.95,25.95,71.26,0.78
skjervoy,NO,99,1619893421,63.0,70.0311,20.9714,31.32,2.19
sao joao da barra,BR,20,1619893272,73.0,-21.6403,-41.0511,75.2,6.91
tazovskiy,RU,100,1619893422,84.0,67.4667,78.7,30.45,4.92
tiznit,MA,98,1619893422,61.0,29.5833,-9.5,60.31,10.13
tukrah,LY,14,1619893422,25.0,32.5341,20.5791,83.93,4.7
nago,JP,20,1619893423,88.0,26.5881,127.9761,68,5.75
jinchang,CN,92,1619893423,15.0,38.4953,102.1739,66.88,5.79
itarema,BR,99,1619893423,77.0,-2.9248,-39.9167,81.59,5.86
rio grande,BR,0,1619893424,53.0,-32.035,-52.0986,78.8,11.5
trairi,BR,84,1619893424,70.0,-3.2778,-39.2689,84.29,7.14
sitka,US,75,1619893424,76.0,57.0531,-135.33,44.6,3.44
sur,OM,41,1619893425,56.0,22.5667,59.5289,82.98,13.11
port-gentil,GA,20,1619893425,79.0,-0.7193,8.7815,84.2,6.91
southbridge,NZ,4,1619893425,100.0,-43.8167,172.25,28.4,2.3
mazatan,MX,75,1619893426,66.0,14.8667,-92.45,87.8,3.44
kodiak,US,1,1619893426,81.0,57.79,-152.4072,39.2,4.61
urengoy,RU,100,1619893427,91.0,65.9667,78.3667,29.89,6.29
biak,ID,91,1619893427,86.0,-0.9131,122.8766,76.5,3.85
tete,MZ,20,1619893427,61.0,-16.1564,33.5867,84.2,13.8
husavik,IS,75,1619893428,69.0,66.0449,-17.3389,35.6,14.97
taft,IR,0,1619893428,21.0,31.7471,54.2088,78.8,4.61
geraldton,AU,98,1619893429,58.0,-28.7667,114.6,55.4,8.05
mandera,KE,93,1619893429,69.0,3.9366,41.867,81.68,3.71
shimoda,JP,75,1619893429,87.0,34.6667,138.95,63,21.63
pavlodar,KZ,0,1619893430,44.0,52.3,76.95,37.4,6.71
te anau,NZ,14,1619893430,87.0,-45.4167,167.7167,39.07,1.16
mizdah,LY,100,1619893430,26.0,31.4451,12.9801,80.85,16.55
forquilhinha,BR,0,1619893431,38.0,-28.7475,-49.4722,79.59,4.25
cassilandia,BR,99,1619893431,40.0,-19.1133,-51.7342,85.53,6.02
bulawayo,ZW,72,1619893431,82.0,-20.15,28.5833,58.78,16.6
namatanai,PG,88,1619893431,81.0,-3.6667,152.4333,78.69,2.68
jasper,CA,89,1619893432,39.0,52.8833,-118.0857,46.4,8.05
coahuayana,MX,20,1619893432,50.0,18.7333,-103.6833,80.6,8.3
varzea da palma,BR,85,1619893432,43.0,-17.5981,-44.7308,80.51,4.41
sultanpur,IN,24,1619893433,26.0,26.2667,82.0667,89.8,9.24
sargatskoye,RU,12,1619893276,43.0,55.6101,73.4972,40.1,6.26
pinawa,CA,47,1619893433,43.0,50.1489,-95.8811,66.92,8.99
mahebourg,MU,20,1619893434,94.0,-20.4081,57.7,73.4,4.61
berlevag,NO,100,1619893434,83.0,70.8578,29.0864,33.85,22.37
hofn,IS,94,1619893434,67.0,64.2539,-15.2082,38.19,19.01
kanata,CA,90,1619893434,39.0,45.3159,-75.8985,48.99,13.8
strezhevoy,RU,0,1619893435,86.0,60.7333,77.5889,32,4.47
sinnamary,GF,87,1619893435,84.0,5.3833,-52.95,80.53,10.87
shelburne,CA,60,1619893435,38.0,44.0787,-80.2041,55.99,17.2
reconquista,AR,0,1619893436,38.0,-29.15,-59.65,80.76,10.51
central point,US,75,1619893414,72.0,42.376,-122.9164,63,8.05
gurupa,BR,100,1619893436,97.0,-1.405,-51.64,73.69,1.92
alexandroupoli,GR,40,1619893436,60.0,40.8475,25.8744,69.8,6.91
mancio lima,BR,75,1619893437,51.0,-7.6142,-72.8958,89.6,3.44
marrakesh,MA,40,1619893222,33.0,31.6315,-8.0083,73.4,5.75
obreja,RO,100,1619893437,74.0,45.4833,22.25,65.34,5.7
bonavista,CA,49,1619893438,87.0,48.6499,-53.1147,46.4,10.36
mayor pablo lagerenza,PY,4,1619893438,26.0,-19.9309,-60.7718,93.27,12.01
yamada,JP,100,1619893311,95.0,39.4667,141.95,48.09,8.63
thakurganj,IN,12,1619893438,42.0,26.45,88.1333,80.87,3.89
henties bay,NA,0,1619893439,87.0,-22.116,14.2845,62.01,3
khatanga,RU,73,1619893318,99.0,71.9667,102.5,13.57,3.47
paamiut,GL,23,1619893439,59.0,61.994,-49.6678,39.22,0.6
kanniyakumari,IN,78,1619893440,76.0,8.0833,77.5667,83.41,6.31
fare,PF,99,1619893440,71.0,-16.7,-151.0167,80.71,6.11
santa maria del oro,MX,0,1619893440,23.0,25.9333,-105.3667,68.97,6.35
cabo san lucas,MX,1,1619893441,61.0,22.8909,-109.9124,80.01,8.05
gimli,CA,63,1619893356,75.0,50.6336,-96.9907,37.4,5.75
isangel,VU,75,1619893441,83.0,-19.55,169.2667,77,5.75
tiarei,PF,40,1619893441,69.0,-17.5333,-149.3333,82.4,8.05
mosquera,CO,40,1619893442,63.0,4.7059,-74.2302,64.4,9.22
fortuna,US,75,1619893442,100.0,40.5982,-124.1573,54,12.66
paoua,CF,91,1619893442,63.0,7.2427,16.4406,78.24,4.29
pochutla,MX,75,1619893443,58.0,15.7432,-96.4661,91.99,17.27
gweta,BW,11,1619893443,26.0,-20.1833,25.2333,78.08,9.31
susanville,US,1,1619893443,19.0,40.4163,-120.653,70,10.36
severo-kurilsk,RU,100,1619893290,97.0,50.6789,156.125,35.71,22.68
ambilobe,MG,48,1619893444,93.0,-13.2,49.05,74.64,3.31
port hardy,CA,75,1619893444,76.0,50.6996,-127.4199,50,5.75
prince rupert,CA,90,1619893360,81.0,54.3161,-130.3201,48.2,6.91
puerto escondido,MX,40,1619893381,70.0,15.85,-97.0667,86,14.97
atikokan,CA,2,1619893445,42.0,48.7555,-91.6216,68.07,8.7
muhos,FI,0,1619893445,100.0,64.808,25.9931,32,8.05
marawi,SD,25,1619893446,22.0,18.4833,31.8167,93.94,19.37
wufeng,CN,99,1619893446,75.0,27.45,104.8333,58.78,4.97
muskegon,US,40,1619893396,27.0,43.3,-86.1334,64.4,24.16
san cristobal,EC,40,1619893446,65.0,-0.9045,-89.6174,84.2,14.97
kamaishi,JP,100,1619893447,95.0,39.2667,141.8833,49.17,10
coihaique,CL,75,1619893447,62.0,-45.5752,-72.0662,53.6,10.36
yuzhno-kurilsk,RU,95,1619893447,92.0,44.0306,145.8556,36.18,0.69
rio gallegos,AR,0,1619893448,70.0,-51.6226,-69.2181,44.6,3.44
samarai,PG,47,1619893448,81.0,-10.6167,150.6667,79.77,10.27
salalah,OM,20,1619893449,84.0,17.0151,54.0924,84.2,4.61
carutapera,BR,74,1619893449,74.0,-1.195,-46.02,82.51,4.25
filadelfia,PY,29,1619893449,25.0,-22.35,-60.0333,90.77,12.12
salto,UY,0,1619893445,38.0,-31.3833,-57.9667,79,11.5
cayenne,GF,20,1619893450,66.0,4.9333,-52.3333,87.8,11.5
upernavik,GL,61,1619893450,76.0,72.7868,-56.1549,32.95,2.75
imbituba,BR,75,1619893450,57.0,-28.24,-48.6703,77,11.5
grindavik,IS,40,1619893451,53.0,63.8424,-22.4338,44.6,14.97
san vicente,AR,36,1619893451,29.0,-26.6167,-54.1333,79.18,4.03
pahrump,US,86,1619893451,15.0,36.2083,-115.9839,86,5.01
palm coast,US,1,1619893268,53.0,29.585,-81.2078,82,9.22
tres arroyos,AR,65,1619893452,40.0,-38.3739,-60.2798,70.32,13.78
sicamous,CA,66,1619893452,41.0,50.8331,-118.9856,59,2.3
klaksvik,FO,75,1619893453,87.0,62.2266,-6.589,37.4,8.01
ilulissat,GL,1,1619893453,34.0,69.2167,-51.1,46.4,10.36
madang,PG,100,1619893453,88.0,-5.2246,145.7966,76.42,1.43
teknaf,BD,18,1619893454,83.0,20.8624,92.3058,78.91,2.42
nelson bay,AU,43,1619893454,100.0,-32.7167,152.15,57,8.32
sarkand,KZ,63,1619893454,65.0,45.41,79.9186,46.83,5.01
yilan,CN,66,1619893455,56.0,46.3167,129.5667,44.56,2.8
catamarca,AR,37,1619893178,55.0,-28.4696,-65.7852,79,1.99
tombouctou,ML,73,1619893455,19.0,20,-3,96.91,4.23
chokurdakh,RU,60,1619893456,100.0,70.6333,147.9167,-0.9,3.69
kastamonu,TR,100,1619893456,64.0,41.5,33.6667,58.64,2.46
saldanha,ZA,2,1619893456,55.0,-33.0117,17.9442,60.8,5.75
kahului,US,20,1619893457,73.0,20.8947,-156.47,75.2,13.8
yar-sale,RU,63,1619893457,92.0,66.8333,70.8333,19.02,10.13
melilla,ES,0,1619893457,48.0,35.2937,-2.9383,62.6,14.97
port blair,IN,90,1619893458,75.0,11.6667,92.75,83.19,5.61
chunskiy,RU,99,1619893458,93.0,56.0815,99.6342,34.3,1.54
dikson,RU,98,1619893458,89.0,73.5069,80.5464,24.42,5.28
sovetskiy,RU,100,1619893459,83.0,61.3614,63.5842,47.68,14.25
vanimo,PG,100,1619893459,88.0,-2.6741,141.3028,77.18,3.67
adwa,ET,99,1619893459,67.0,14.1646,38.8955,65.71,3.42
ponta do sol,CV,20,1619893460,61.0,17.1994,-25.0919,77,24.16
chirongui,YT,40,1619893460,89.0,-12.9319,45.1483,80.6,5.75
zhuhai,CN,0,1619893460,88.0,22.2769,113.5678,78.01,3.44
miles city,US,1,1619893460,21.0,46.4083,-105.8406,73.4,12.24
quime,BO,11,1619893461,50.0,-16.9833,-67.2167,61.84,6.13
adet,ET,96,1619893461,74.0,11.2644,37.4888,63.18,2.33
jalu,LY,0,1619893461,8.0,29.0331,21.5482,94.6,9.51
sretensk,RU,100,1619893462,54.0,52.2453,117.7093,44.4,2.93
belaya gora,RU,75,1619893462,99.0,68.5333,146.4167,5.61,4.05
george,ZA,0,1619893199,82.0,-33.963,22.4617,51.8,4.61
port macquarie,AU,40,1619893383,100.0,-31.4333,152.9167,59,2.3
wanaka,NZ,2,1619893463,69.0,-44.7,169.15,41.88,2.98
tezu,IN,68,1619893463,86.0,27.9167,96.1667,69.76,5.1
hervey bay,AU,34,1619893463,94.0,-25.2986,152.8535,69.01,8.05
schotten,DE,100,1619893464,68.0,50.5,9.1333,54,4.7
deniliquin,AU,99,1619893464,56.0,-35.5333,144.9667,59.97,7.52
olavarria,AR,13,1619893465,51.0,-36.8927,-60.3225,68.13,11.21
campbell river,CA,75,1619893465,47.0,50.0163,-125.2446,57,11.5
sechura,PE,25,1619893465,56.0,-5.5569,-80.8222,80.67,10.74
keti bandar,PK,96,1619893466,64.0,24.1447,67.4497,84.52,14.43
bilibino,RU,42,1619893466,88.0,68.0546,166.4372,-2.36,4.21
katsuura,JP,51,1619893466,78.0,35.1333,140.3,64,15.99
kruisfontein,ZA,1,1619893467,83.0,-34.0033,24.7314,54,2.17
hasaki,JP,20,1619893467,94.0,35.7333,140.8333,60.8,11.5
poum,NC,96,1619893467,75.0,-20.2333,164.0167,75.34,10.96
hovd,MN,1,1619893468,25.0,48.0056,91.6419,45.52,7.31
zhanaozen,KZ,91,1619893468,24.0,43.3,52.8,69.15,10.38
san buenaventura,MX,43,1619893468,37.0,27.0833,-101.5333,78.37,5.28
zambezi,ZM,88,1619893469,81.0,-13.5432,23.1047,69.15,5.73
hakkari,TR,92,1619893469,83.0,37.5833,44.1667,48.69,5.26
matamoros,MX,20,1619893469,35.0,25.5333,-103.25,73.4,5.95
tiksi,RU,96,1619893470,99.0,71.6872,128.8694,19.02,2.59
tallahassee,US,40,1619893202,28.0,30.4383,-84.2807,84.99,4.47
clarksdale,US,1,1619893470,32.0,34.2001,-90.5709,81,12.66
dunedin,NZ,1,1619893185,73.0,-45.8742,170.5036,50,3
nouadhibou,MR,4,1619893471,68.0,20.931,-17.0347,71.6,21.85
capitan bado,PY,23,1619893471,28.0,-23.2667,-55.5333,83.84,4.79
barsovo,RU,0,1619893471,80.0,61.1667,73.1667,35.6,6.71
laguna,BR,1,1619893472,64.0,-28.4825,-48.7808,72.9,18.63
ngunguru,NZ,15,1619893472,94.0,-35.6167,174.5,48,3
kysyl-syr,RU,100,1619893472,98.0,63.8986,122.7617,34.34,5.53
asfi,MA,97,1619893472,63.0,32.2994,-9.2372,64.33,22.41
parakou,BJ,60,1619893473,30.0,9.3372,2.6303,92.82,4.41
singaraja,ID,59,1619893473,84.0,-8.112,115.0882,79.66,4.59
tomatlan,MX,34,1619893473,28.0,19.9333,-105.25,91.96,9.55
meadville,US,1,1619893474,35.0,41.6414,-80.1515,59,10.36
aripuana,BR,49,1619893474,76.0,-9.1667,-60.6333,83.44,0.74
sungairaya,ID,99,1619893474,81.0,0.7,108.9,80.17,3.33
turka,RU,100,1619893451,97.0,52.95,108.2167,34.03,5.61
saint-paul,RE,0,1619893475,78.0,-21.0096,55.2707,75.2,6.91
riverton,US,1,1619893476,31.0,40.5219,-111.9391,79,16.11
seguela,CI,36,1619893476,33.0,7.9611,-6.6731,93.29,2.84
banepa,NP,40,1619893476,94.0,27.6298,85.5214,62.6,4.61
ribeira grande,PT,75,1619893303,94.0,38.5167,-28.7,62.6,19.57
windhoek,NA,23,1619893477,42.0,-22.5594,17.0832,70,5.75
murgab,TM,75,1619893477,46.0,37.4966,61.9714,71.6,6.91
